id,from,to,x,y,wkt,count
58905,283651572,20246264,4592154.288669541,5820213.920394879,"LINESTRING (4592123.143858271 5820227.88326049, 4592185.43348081 5820199.957529268)",330
58906,20246264,283651572,4592154.288669541,5820213.920394879,"LINESTRING (4592185.43348081 5820199.957529268, 4592123.143858271 5820227.88326049)",210
5892,28296538,26704018,4591255.284994753,5822964.146515029,"LINESTRING (4591256.617506266 5822991.920547665, 4591253.952483241 5822936.372482393)",7240
5894,3835057594,26704019,4591255.370897006,5822763.414348011,"LINESTRING (4591252.458918052 5822923.989423212, 4591258.28287596 5822602.83927281)",5910
5895,28248866,29695400,4591266.366907653,5822944.617889766,"LINESTRING (4591265.861005577 5822931.50745236, 4591266.87280973 5822957.72832717)",7240
58957,1131171656,2407107650,4592219.314278161,5822079.24858422,"LINESTRING (4592213.388980803 5822042.889324919, 4592225.239575519 5822115.60784352)",6720
58958,2407107650,1832331491,4592213.270334285,5822143.031834662,"LINESTRING (4592225.239575519 5822115.60784352, 4592201.301093049 5822170.455825804)",6540
5896,29695400,3835057606,4591266.695327597,5822970.720294526,"LINESTRING (4591266.87280973 5822957.72832717, 4591266.517845464 5822983.712261883)",5990
5897,3835057606,28296539,4591266.470487034,5822987.712922226,"LINESTRING (4591266.517845464 5822983.712261883, 4591266.423128603 5822991.713582569)",6940
59021,1929590514,267980710,4590352.232542533,5821922.301309222,"LINESTRING (4590360.853973629 5821925.120469886, 4590343.611111439 5821919.482148559)",2560
59025,2268093743,267980708,4591018.236744588,5821501.332825387,"LINESTRING (4590993.369639153 5821521.385256968, 4591043.103850023 5821481.280393805)",8290
5904,3491216270,28249800,4591210.917624395,5822013.40332124,"LINESTRING (4591199.32682528 5821958.023237388, 4591222.508423512 5822068.783405093)",5270
5905,28249800,1808258716,4591230.826324961,5822109.938653678,"LINESTRING (4591222.508423512 5822068.783405093, 4591239.14422641 5822151.093902264)",5060
59082,1352194827,1352194826,4592982.38300949,5824757.707943909,"LINESTRING (4592987.6587302685 5824758.069685579, 4592977.107288711 5824757.3462022375)",80
59083,1352194826,1352194827,4592982.38300949,5824757.707943909,"LINESTRING (4592977.107288711 5824757.3462022375, 4592987.6587302685 5824758.069685579)",0
59084,1352194828,1352194830,4592969.694411806,5824837.215129804,"LINESTRING (4592964.691177027 5824835.550679024, 4592974.697646584 5824838.879580584)",20
59085,1352194830,1352194828,4592969.694411806,5824837.215129804,"LINESTRING (4592974.697646584 5824838.879580584, 4592964.691177027 5824835.550679024)",10
59112,29221592,1261425424,4596102.153296544,5822157.7947154,"LINESTRING (4596123.591011878 5822143.243605463, 4596080.71558121 5822172.345825337)",40
59113,1261425427,614483613,4596076.597644119,5822247.177994464,"LINESTRING (4596109.572306232 5822224.537944114, 4596043.6229820065 5822269.818044814)",50
59114,26747879,26747821,4594048.553411824,5821972.924371427,"LINESTRING (4594071.263077183 5821918.495257396, 4594025.843746465 5822027.3534854585)",20
59115,26747821,26747918,4594003.874566696,5822073.487677446,"LINESTRING (4594025.843746465 5822027.3534854585, 4593981.905386927 5822119.621869434)",470
5918,28296542,3797106141,4591266.224619282,5823239.777781023,"LINESTRING (4591274.8563618725 5823422.278731227, 4591257.592876693 5823057.276830819)",7240
59210,4406222162,26754340,4592816.824587937,5822256.5555245,"LINESTRING (4592846.542786689 5822273.6310414085, 4592787.106389187 5822239.480007592)",9400
5922,28296539,3797106140,4591266.524363738,5823024.5459268205,"LINESTRING (4591266.423128603 5822991.713582569, 4591266.625598871 5823057.378271071)",6940
5923,3837028201,98978100,4595796.749643519,5822653.241468579,"LINESTRING (4595790.693298323 5822655.19347964, 4595802.805988714 5822651.289457518)",11150
